t_event,osc_idx,bub_id,event_type,radius,cutoff_tau,weight,peak_accel
0,0,1,N,0.0182891,0.00304818333,-1145.37543,0.00200928459
0.363333,0,5,M,0.0217754,0,0,4.46433165e-05
0.384167,0,8,M,0.0220152,0,0,3.62479004e-05
0.43,0,20,M,0.02222,0,0,2.44698019e-05
0.4675,0,61,M,0.0226158,0,0,1.76741453e-05
0.481389,0,70,M,0.0226855,0,0,1.53425086e-05
0.539444,0,74,S,0.0223491,0.00372485,-767.01927,0.0020411905
0.568889,0,105,M,0.0221901,0,0,0.00163300192
0.575833,0,115,M,0.0222676,0.00137456762,1572.39779,0.00150943855
0.760833,0,122,S,0.0223962,0,0,0.000300390822
0.416944,1,9,N,0.0199379,0.00332298333,-963.764428,0.00201281247
0.801944,1,132,M,0.0229997,0,0,5.12454603e-05
0.818889,1,159,M,0.0230746,0,0,4.43572466e-05
0.833333,1,177,M,0.0230192,0,0,3.97006024e-05
0.847222,1,204,S,0.0226281,0.00377135,-748.220891,0.0020193044
0.851944,1,220,S,0.0225356,0,0,0.0020137286
0.862222,1,224,M,0.0224219,0,0,0.00176926932
0.870278,1,227,M,0.0223991,0,0,0.00170243737
0.886389,1,239,M,0.0223358,0,0,0.00154832886
0.916389,1,294,S,0.0224694,0,0,0.00117668117
0.930556,1,311,S,0.0225117,0,0,0.00103302339
0.943056,1,338,M,0.0223417,0.00372361667,1561.98451,0.00377988065
0.966944,1,408,S,0.019747,0.00329116667,-982.489164,0.00316771383
1.00972,1,439,M,0.0201796,0,0,0.00121471706
1.03833,1,475,M,0.0202804,0,0,0.000935608778
1.04667,1,483,S,0.020276,0.00337933333,-931.889963,0.00140846634
1.07528,1,496,M,0.0206291,0,0,0.0011549705
1.09528,1,513,M,0.0226769,0,0,0.000932540572
1.10306,1,518,M,0.0227824,0,0,0.000852026593
1.15194,1,548,M,0.0229221,0,0,0.000538679671
1.16444,1,568,M,0.022861,0,0,0.000468217381
1.17889,1,621,S,0.0213491,0.00355818333,-840.559602,0.00163649416
1.19417,1,684,S,0.0208365,0.00347275,-882.427091,0.00138980935
1.19917,1,721,S,0.0207564,0,0,0.000573526838
1.20722,1,767,M,0.0206395,0,0,0.00344468409
1.22222,1,857,S,0.00458134,0.000763556667,-18257.8352,0.00340789343
1.22667,1,888,M,0.00495393,0.000825655,31776.5818,0.00442627544
1.41667,1,1817,M,0.00591245,0.000985408333,22307.5352,0.00410218937
1.43056,1,1891,M,0.0059853,0,0,0.00237236945
1.44417,1,1926,M,0.00585925,0,0,0.00142077879
1.45833,1,1953,S,0.00538135,0.000896891667,-13232.188,0.0026642372
1.46444,1,1969,M,0.00544425,0.000907375,26309.9171,0.00410419486
0.539444,2,75,S,0.00400217,0.000667028333,-23925.6044,0.00195110679
0.554722,3,97,S,0.00341392,0.000568986667,-32883.2009,0.00194764812
0.558056,3,100,S,0.00441757,0,0,0.00147497494
0.833611,4,180,N,0.0199379,0.00332298333,-963.764428,0.00201279802
1.15278,4,552,S,0.0216637,0,0,0.000103829937
1.16611,4,572,M,0.0218134,0.00326919187,1638.56285,0.00304603307
