t_event,osc_idx,bub_id,event_type,radius,cutoff_tau,weight,peak_accel
0.0547222,0,3,N,0.0073822,0.00123036667,-7030.90433,0.0019853181
0.0547222,1,4,N,0.0109441,0.00182401667,-3198.86022,0.00201595215
0.157639,1,86,M,0.0137304,0,0,0.000238628501
0.162917,1,109,M,0.0129611,0,0,0.000210272243
0.171528,1,157,M,0.0123032,0,0,0.000232776978
0.180556,1,197,S,0.0107563,0.00179271667,-3311.54414,0.00215020515
0.185694,1,265,M,0.0113101,0,0,0.00168583258
0.194306,1,404,M,0.0107309,0,0,0.0016537027
0.199583,1,495,M,0.0105153,0,0,0.00158232793
0.200278,1,505,M,0.00981695,0,0,0.00192851962
0.204583,1,588,M,0.00985125,0,0,0.0017596004
0.213889,1,787,M,0.00983225,0,0,0.00141934879
0.221944,1,946,M,0.0088587,0,0,0.00141703232
0.228889,1,1086,M,0.00902455,0.000708792493,9574.12616,0.0015830267
0.234306,1,1189,M,0.0093812,0,0,0.00119976169
0.242778,1,1335,M,0.00907855,0,0,0.000991069538
0.249167,1,1469,M,0.00929675,0,0,0.000829700303
0.254444,1,1631,M,0.009123,0,0,0.000720868098
0.26375,1,1845,M,0.00907855,0,0,0.000575388185
0.270833,1,2041,M,0.008512,0,0,0.000530064979
0.277778,1,2269,M,0.00956595,0.001594325,8520.99168,0.00397787151
0.284167,1,2404,M,0.0084557,0,0,0.00383307959
0.286667,1,2467,M,0.00822805,0,0,0.00366621534
0.298611,1,2865,M,0.00811215,0,0,0.00288995525
0.305278,1,3085,M,0.00777955,0,0,0.00259863193
0.312361,1,3321,M,0.0075797,0,0,0.00320673347
0.319444,1,3580,S,0.00484654,0.000807756667,-16314.1066,0.00385728956
0.326389,1,3789,M,0.00591245,0,0,0.00232711315
0.0547222,2,5,N,0.0062885,0.00104808333,-9689.54381,0.00199346864
0.144583,2,57,M,0.00393194,0,0,0.000169633118
0.0547222,3,6,N,0.00533,0.000888333333,-13488.4124,0.00196117486
0.0547222,4,7,N,0.00390797,0.000651328333,-25093.156,0.00197107991
0.230139,4,1110,M,0.00569365,0,0,5.20736169e-08
0.238333,4,1253,M,0.00533,0,0,2.33028782e-08
0.249583,4,1480,M,0.00514185,0,0,1.62744386e-08
0.254722,4,1638,M,0.0052776,0,0,1.24199359e-08
0.259167,4,1745,M,0.00511385,0,0,1.05826251e-08
